zip_code,ride_id,started_at_date,ride_length
07030,A51BF78E4D953953,2022-11-06,13
07030,5C63908A58DCF635,2022-11-16,9
07030,371E1198D7B89579,2022-11-29,9
07030,8B5DC26BA4E2D051,2022-11-25,44
07030,36F754AA50A20DFE,2022-11-13,10
07030,0BA79D50EC7DE1EB,2022-11-24,6
07030,187B2923147B8A6D,2022-11-10,5
07030,A3FB9C817024D604,2022-11-04,16
07030,579A1B31A8FCA451,2022-11-10,8
07030,4B9FC42E00EECA76,2022-11-01,9
07030,EB68D9AEF115758D,2022-11-02,8
07030,46C5810C56B01B1E,2022-11-28,7
07030,58EE59D0AE4A0747,2022-11-20,6
07030,1A61A7B4DC3412B8,2022-11-12,27
07030,EA79E7991764A29B,2022-11-10,6
07030,ABF71768D3B1BAD4,2022-11-03,6
07030,22FA5199AC99AA78,2022-11-01,6
07030,148A74E21C328629,2022-11-26,7
07030,F0FAFF9454EAC111,2022-11-04,7
07030,8140357F25643FD5,2022-11-10,21
07030,7BDC69C23586A9D7,2022-11-06,12
07030,5A7356C82952C23B,2022-11-12,7
07030,4A3401B470A4F645,2022-11-07,6
07030,D16E7C607E3D74B3,2022-11-23,8
07030,65B509FDEC610DAA,2022-11-21,8
07030,49C77D8D195C5D26,2022-11-15,5
07030,A8954268D34F9D6C,2022-11-14,8
07030,890FEE4B77373ADC,2022-11-06,17
07030,36B4013D616023C2,2022-11-09,14
07030,00B4D393C7DEABA4,2022-11-22,5
07030,11372AE8011BEFD2,2022-11-03,5
07030,5876FD335E2B59A4,2022-11-22,7
07030,4055E5FA360BE0A0,2022-11-06,7
07030,8BE3FF92C76D057F,2022-11-24,39
07030,77D14CA115B4EF7D,2022-11-22,7
07030,1D58873BFD5B35F2,2022-11-29,14
07030,0CBD7A1F88993493,2022-11-23,5
07030,FAD0DFDA35E33416,2022-11-24,9
07030,A971BED271D8655B,2022-11-02,17
07030,480CA74A7D9B6E14,2022-11-13,7
07030,626BE4BF9F84DAE0,2022-11-04,27
07030,E4E0AE060D2AE137,2022-11-15,4
07030,63436B9333B05C90,2022-11-27,5
07030,0765B07240A3D48F,2022-11-26,6
07030,C44022B89BCBD717,2022-11-06,12
07030,41C4596352177B50,2022-11-11,5
07030,443B6B92856D0A23,2022-11-13,5
07030,3512C0E0350667A3,2022-11-01,12
07030,DB6DAC993228F322,2022-11-04,7
07030,EA38CAF6D4901E50,2022-11-06,30
07030,0A606DDE94617E2E,2022-11-10,7
07030,886B63893AF22E28,2022-11-29,7
07030,3CFB563B8DCD3EE7,2022-11-16,6
07030,71559BB4E390FB6D,2022-11-08,10
07030,09A48AB87DF43B4C,2022-11-30,6
07030,B365AA0F7FF03346,2022-11-18,8
07030,0CBAE23F0E4C7937,2022-11-05,18
07030,3AABE1D4608ECC2F,2022-11-24,39
07030,DB75F13BEC37F130,2022-11-24,41
07030,05E0E50B7BA21D1F,2022-11-12,30
07030,19B7571BB8DF0515,2022-11-19,5
07030,ED5FDE96C3A675AB,2022-11-03,19
07030,91016A1DCFA623A3,2022-11-02,11
07030,B070E8A88006BAC9,2022-11-05,17
07030,6EBF94B5B38946D9,2022-11-08,7
07030,2BBE7F68E9BFF1EF,2022-11-12,28
07030,22E859E6B6DEB0ED,2022-11-02,8
